Month,Sales,t,tsq,x1t,x2t,x3t,x4t,x5t,x6t,x7t,x8t,x9t,x10t,x11t,d1t,d2t,d3t
82,2448,82,6724,0,0,0,0,0,0,0,0,0,1,0,638,-2,-1056
83,3189,83,6889,0,0,0,0,0,0,0,0,0,0,0,907,638,-2
84,2992,84,7056,0,0,0,0,0,0,0,0,0,0,0,741,907,638
85,625,85,7225,1,0,0,0,0,0,0,0,0,0,0,-197,741,907
86,702,86,7396,0,1,0,0,0,0,0,0,0,0,0,-2367,-197,741
87,1287,87,7569,0,0,1,0,0,0,0,0,0,0,0,77,-2367,-197
88,1673,88,7744,0,0,0,1,0,0,0,0,0,0,0,585,77,-2367
89,2109,89,7921,0,0,0,0,1,0,0,0,0,0,0,386,585,77
90,2177,90,8100,0,0,0,0,0,1,0,0,0,0,0,436,386,585
91,137,91,8281,0,0,0,0,0,0,1,0,0,0,0,68,436,386
92,1055,92,8464,0,0,0,0,0,0,0,1,0,0,0,-2040,68,436
93,1352,93,8649,0,0,0,0,0,0,0,0,1,0,0,918,-2040,68
94,3785,94,8836,0,0,0,0,0,0,0,0,0,1,0,297,918,-2040
95,2326,95,9025,0,0,0,0,0,0,0,0,0,0,0,2433,297,918
96,3124,96,9216,0,0,0,0,0,0,0,0,0,0,0,-1459,2433,297
97,1013,97,9409,1,0,0,0,0,0,0,0,0,0,0,798,-1459,2433
98,1033,98,9604,0,1,0,0,0,0,0,0,0,0,0,-2111,798,-1459
99,1552,99,9801,0,0,1,0,0,0,0,0,0,0,0,20,-2111,798
100,1625,100,10000,0,0,0,1,0,0,0,0,0,0,0,519,20,-2111
101,163,101,10201,0,0,0,0,1,0,0,0,0,0,0,73,519,20
102,668,102,10404,0,0,0,0,0,1,0,0,0,0,0,-1462,73,519
103,840,103,10609,0,0,0,0,0,0,1,0,0,0,0,505,-1462,73
104,737,104,10816,0,0,0,0,0,0,0,1,0,0,0,172,505,-1462
105,350,105,11025,0,0,0,0,0,0,0,0,1,0,0,-103,172,505
106,199,106,11236,0,0,0,0,0,0,0,0,0,1,0,-387,-103,172
107,1469,107,11449,0,0,0,0,0,0,0,0,0,0,0,-151,-387,-103
108,2179,108,11664,0,0,0,0,0,0,0,0,0,0,0,1270,-151,-387
